Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-06-27,10.4,10.49,8.16,9.67,19942400,0,0
2018-06-28,10.2,10.37,9.093,9.77,3605500,0,0
2018-06-29,10.01,10.06,8.81,9.04,2355800,0,0
2018-07-02,8.6,8.769,8.01,8.15,2363500,0,0
2018-07-03,8.42,8.69,8.2,8.5,1287000,0,0
2018-07-05,8.38,8.47,7.65,7.8,2650200,0,0
2018-07-06,7.44,7.872,7.05,7.34,2796700,0,0
2018-07-09,7.55,7.8,7.11,7.66,1840400,0,0
2018-07-10,7.7,7.7,7.34,7.47,1253100,0,0
2018-07-11,7.35,7.8,7.18,7.73,1587600,0,0
2018-07-12,7.83,8.6,7.7,8.45,2050300,0,0
2018-07-13,8.7,8.75,8.01,8.64,1694900,0,0
2018-07-16,8.58,8.6,8.28,8.39,1192100,0,0
2018-07-17,8.33,8.459,8.21,8.35,801400,0,0
2018-07-18,8.32,8.4,7.93,8.0,1133300,0,0
2018-07-19,7.91,7.949,7.54,7.54,1267400,0,0
2018-07-20,7.54,7.69,7.4,7.56,709800,0,0
2018-07-23,7.68,7.9,7.6,7.65,607400,0,0
2018-07-24,7.68,7.8,7.44,7.66,1057100,0,0
2018-07-25,7.65,7.77,7.49,7.61,677900,0,0
2018-07-26,7.53,7.57,6.91,6.98,1830300,0,0
2018-07-27,6.97,6.975,6.5,6.51,1387300,0,0
2018-07-30,6.51,6.59,5.47,5.75,2430900,0,0
2018-07-31,5.83,6.16,5.08,6.16,2109800,0,0
2018-08-01,6.0,6.3,5.85,6.16,949700,0,0
2018-08-02,6.09,6.78,5.62,6.75,1540000,0,0
2018-08-03,6.09,6.99,6.09,6.88,832400,0,0
2018-08-06,6.8,6.8,6.22,6.51,397100,0,0
2018-08-07,6.48,6.81,6.301,6.73,484500,0,0
2018-08-08,6.71,6.73,6.46,6.62,477000,0,0
2018-08-09,6.62,7.08,6.53,6.71,398400,0,0
2018-08-10,6.68,6.98,6.52,6.57,286300,0,0
2018-08-13,6.45,6.57,5.91,6.14,436600,0,0
2018-08-14,6.04,6.06,5.455,5.67,1457700,0,0
2018-08-15,5.35,5.6,5.22,5.26,454600,0,0
2018-08-16,5.58,5.69,5.35,5.57,943600,0,0
2018-08-17,5.52,5.64,5.24,5.26,799600,0,0
2018-08-20,5.33,5.55,5.13,5.2,821400,0,0
2018-08-21,5.3,6.58,5.26,6.24,3754700,0,0
2018-08-22,6.3,6.7,5.64,6.63,3571800,0,0
2018-08-23,6.62,7.067,6.35,6.64,1787100,0,0
2018-08-24,6.63,6.63,6.11,6.19,650800,0,0
2018-08-27,6.2,6.4,5.94,6.21,1001100,0,0
2018-08-28,6.21,6.39,6.13,6.27,433800,0,0
2018-08-29,6.27,6.33,6.1,6.17,401900,0,0
2018-08-30,6.18,6.225,5.807,5.93,740300,0,0
2018-08-31,5.88,6.052,5.79,5.93,312000,0,0
2018-09-04,5.93,5.95,5.8,5.92,268000,0,0
2018-09-05,5.83,5.86,5.34,5.44,1154500,0,0
2018-09-06,5.49,5.577,5.301,5.34,615200,0,0
2018-09-07,5.33,5.66,5.26,5.38,465700,0,0
2018-09-10,5.39,5.44,5.28,5.33,469400,0,0
2018-09-11,5.34,5.41,5.18,5.2,709500,0,0
2018-09-12,5.2,5.27,4.88,5.04,1107300,0,0
2018-09-13,5.3,5.4,5.07,5.14,779800,0,0
2018-09-14,5.16,5.67,5.16,5.22,1305200,0,0
2018-09-17,5.2,5.3,5.03,5.06,366700,0,0
2018-09-18,5.24,5.27,5.02,5.03,329500,0,0
2018-09-19,5.14,5.26,5.03,5.15,610500,0,0
2018-09-20,5.24,5.59,5.21,5.3,718300,0,0
2018-09-21,5.3,5.6,5.28,5.45,999900,0,0
2018-09-24,5.3,5.9,5.3,5.86,948000,0,0
2018-09-25,5.86,6.41,5.825,6.4,1547200,0,0
2018-09-26,6.44,6.91,6.25,6.71,1644200,0,0
2018-09-27,6.57,6.88,6.43,6.5,972900,0,0
2018-09-28,6.45,7.255,6.21,6.79,954800,0,0
2018-10-01,6.74,6.905,6.47,6.51,564300,0,0
