Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-05-02,20.25,23.38,19.76,22.36,4428700,0,0
2019-05-03,22.1,25.99,21.38,24.8,946200,0,0
2019-05-06,22.98,28.18,22.11,27.41,535100,0,0
2019-05-07,26.93,27.42,24.01,26.29,768200,0,0
2019-05-08,26.13,26.13,24.41,25.0,542200,0,0
2019-05-09,24.96,26.44,24.35,25.19,147400,0,0
2019-05-10,25.15,26.73,24.83,26.73,178300,0,0
2019-05-13,26.58,27.76,25.13,26.99,177700,0,0
2019-05-14,27.41,27.94,26.09,27.18,193500,0,0
2019-05-15,26.9,27.99,26.45,27.05,178900,0,0
2019-05-16,26.9,29.0,26.9,28.84,147300,0,0
2019-05-17,29.0,29.8,26.92,29.61,92300,0,0
2019-05-20,29.5,30.5,29.0,29.68,136300,0,0
2019-05-21,29.81,30.45,29.66,30.0,98800,0,0
2019-05-22,29.9,31.27,29.67,30.41,132100,0,0
2019-05-23,30.14,31.54,28.0,28.87,165900,0,0
2019-05-24,29.05,30.31,28.75,28.88,53700,0,0
2019-05-28,28.66,31.23,28.63,30.14,246600,0,0
2019-05-29,30.0,30.13,26.44,26.5,358000,0,0
2019-05-30,26.86,28.44,24.75,27.34,263700,0,0
2019-05-31,27.3,28.05,26.41,27.19,271900,0,0
2019-06-03,26.9,28.0,26.57,27.64,132500,0,0
2019-06-04,28.01,29.0,26.67,27.95,138500,0,0
2019-06-05,28.0,28.46,26.51,26.82,128800,0,0
2019-06-06,27.0,27.3,25.52,26.47,226100,0,0
2019-06-07,26.82,27.87,26.31,26.5,161800,0,0
2019-06-10,26.95,28.0,25.8,26.58,138200,0,0
2019-06-11,26.73,27.19,25.79,26.51,91200,0,0
2019-06-12,26.55,26.91,25.03,25.97,252800,0,0
2019-06-13,25.78,26.25,24.61,24.92,231100,0,0
2019-06-14,25.11,26.37,24.76,26.02,555300,0,0
2019-06-17,26.04,26.95,25.32,26.49,180700,0,0
2019-06-18,26.71,28.14,25.66,28.0,164600,0,0
2019-06-19,28.05,28.28,26.61,27.23,124100,0,0
2019-06-20,27.52,29.53,27.05,27.99,218200,0,0
2019-06-21,27.37,28.61,26.26,27.02,441500,0,0
2019-06-24,27.11,28.69,26.87,28.16,302000,0,0
2019-06-25,28.17,28.31,27.22,28.0,113900,0,0
