Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2014-03-13,17.0,18.73,14.1,14.31,2356200,0,0
2014-03-14,14.6,15.7,14.4,14.65,366100,0,0
2014-03-17,14.5,15.66,14.46,15.15,199600,0,0
2014-03-18,15.5,15.5,14.9,15.24,112000,0,0
2014-03-19,15.35,15.35,14.55,14.71,104800,0,0
2014-03-20,14.5,15.08,13.2,13.43,113500,0,0
2014-03-21,13.5,13.99,12.98,13.55,80900,0,0
2014-03-24,14.0,14.0,11.76,11.97,150300,0,0
2014-03-25,11.97,12.49,11.23,11.53,183300,0,0
2014-03-26,11.79,11.79,11.05,11.1,69500,0,0
2014-03-27,11.02,11.36,10.85,10.93,46000,0,0
2014-03-28,10.85,11.3,10.85,11.14,69400,0,0
2014-03-31,11.5,11.75,11.01,11.47,43900,0,0
2014-04-01,11.69,12.44,11.41,11.55,87300,0,0
2014-04-02,11.42,12.41,11.42,12.01,85800,0,0
2014-04-03,12.03,12.1,11.02,11.22,49300,0,0
2014-04-04,11.5,11.6,10.66,10.75,39900,0,0
2014-04-07,10.64,10.94,9.9,10.04,65700,0,0
2014-04-08,9.97,10.08,8.78,9.1,130300,0,0
2014-04-09,9.16,9.7,9.16,9.52,21500,0,0
2014-04-10,9.5,9.67,9.0,9.02,47800,0,0
2014-04-11,9.08,9.68,8.8,9.51,20900,0,0
2014-04-14,10.0,10.14,9.2,9.99,43000,0,0
2014-04-15,10.15,10.39,9.1,9.46,36100,0,0
2014-04-16,9.73,9.73,8.89,8.89,35000,0,0
2014-04-17,9.23,9.3,8.58,8.58,29800,0,0
2014-04-21,8.82,9.0,8.58,8.87,29700,0,0
2014-04-22,9.49,9.49,8.75,9.11,21000,0,0
2014-04-23,9.65,9.78,9.31,9.62,33600,0,0
2014-04-24,9.85,9.96,9.1,9.25,30100,0,0
2014-04-25,9.33,9.4,8.86,9.0,32600,0,0
2014-04-28,9.2,9.2,8.46,8.61,53300,0,0
2014-04-29,8.65,8.8,8.07,8.14,26600,0,0
2014-04-30,8.03,8.25,7.79,8.05,18700,0,0
2014-05-01,8.4,8.44,8.09,8.26,6500,0,0
2014-05-02,8.06,8.44,7.83,8.16,15100,0,0
2014-05-05,7.92,8.19,7.79,8.1,16100,0,0
2014-05-06,8.1,8.1,7.8,7.8,10200,0,0
2014-05-07,7.86,7.86,7.27,7.42,27400,0,0
2014-05-08,7.62,7.62,6.84,6.87,30900,0,0
2014-05-09,6.97,8.23,6.8,7.01,38100,0,0
2014-05-12,7.08,7.2,7.06,7.13,18800,0,0
2014-05-13,7.15,7.94,7.12,7.12,33800,0,0
2014-05-14,7.18,7.22,6.94,7.04,6200,0,0
2014-05-15,7.04,7.04,6.61,6.71,23700,0,0
2014-05-16,6.6,6.74,6.38,6.45,33700,0,0
2014-05-19,6.43,7.0,6.43,6.99,11000,0,0
2014-05-20,6.95,7.54,6.62,6.65,10700,0,0
2014-05-21,6.69,7.1,6.69,6.97,23700,0,0
2014-05-22,7.27,7.27,6.72,6.72,11100,0,0
2014-05-23,6.73,7.17,6.51,6.51,5900,0,0
2014-05-27,6.45,7.17,6.38,6.65,49000,0,0
2014-05-28,6.6,6.74,6.42,6.66,12800,0,0
2014-05-29,6.67,7.0,6.6,6.81,40900,0,0
2014-05-30,6.71,7.01,6.7,6.74,37100,0,0
2014-06-02,6.7,7.0,6.7,7.0,10900,0,0
2014-06-03,6.9,7.35,6.73,7.22,36400,0,0
2014-06-04,7.6,7.6,7.18,7.3,31000,0,0
2014-06-05,7.34,7.5,7.26,7.5,14600,0,0
2014-06-06,7.45,7.83,7.31,7.64,9500,0,0
2014-06-09,7.62,7.76,7.04,7.4,31800,0,0
2014-06-10,7.5,8.64,7.5,8.64,61000,0,0
2014-06-11,8.64,10.27,8.5,9.99,127100,0,0
2014-06-12,11.0,11.0,9.65,9.97,40400,0,0
2014-06-13,10.22,11.03,9.75,10.29,18700,0,0
2014-06-16,10.3,10.3,9.66,9.95,19800,0,0
2014-06-17,10.0,10.06,9.62,10.02,12800,0,0
2014-06-18,9.97,9.97,9.6,9.7,8700,0,0
2014-06-19,9.7,9.7,9.05,9.2,17300,0,0
2014-06-20,8.6,9.21,8.57,8.8,55200,0,0
2014-06-23,8.75,9.64,8.75,9.3,11600,0,0
2014-06-24,9.82,9.82,9.42,9.49,8900,0,0
2014-06-25,9.92,9.92,9.36,9.51,17300,0,0
2014-06-26,9.57,9.97,9.57,9.8,8100,0,0
2014-06-27,9.9,10.02,9.15,9.89,12300,0,0
2014-06-30,10.0,10.0,9.63,9.74,3900,0,0
2014-07-01,9.75,10.27,9.71,9.84,32600,0,0
2014-07-02,9.85,10.18,9.7,9.7,15500,0,0
2014-07-03,9.55,9.55,9.03,9.03,14100,0,0
2014-07-07,9.05,9.18,8.63,8.72,7300,0,0
2014-07-08,8.47,9.0,7.54,7.79,26500,0,0
2014-07-09,7.79,8.13,7.79,7.92,35300,0,0
2014-07-10,7.86,8.1,7.86,8.01,11900,0,0
2014-07-11,8.1,8.3,8.1,8.27,18000,0,0
2014-07-14,8.3,8.56,8.27,8.35,20700,0,0
2014-07-15,8.55,8.66,8.38,8.55,37600,0,0
2014-07-16,8.58,8.68,8.3,8.34,43900,0,0
2014-07-17,8.26,8.4,7.35,7.77,28300,0,0
2014-07-18,7.73,7.75,7.39,7.61,5800,0,0
2014-07-21,7.51,7.54,7.13,7.31,23200,0,0
2014-07-22,8.26,8.35,7.5,7.52,45000,0,0
2014-07-23,7.78,7.99,7.58,7.6,31200,0,0
2014-07-24,7.51,7.6,7.25,7.25,19000,0,0
2014-07-25,7.25,7.95,7.1,7.63,54100,0,0
2014-07-28,9.89,9.89,8.07,8.18,49200,0,0
